"Monday, July 21st, 2025",,,,
,,,,
8:30-9:30,,"Welcome, Awards & Keynote",,
9:45,WI2,"Neural Cellular Automata: A New Paradigm for Self-Organizing Textures, Sabine Susstrunk",,
10:05,WI3,"Exploring the nonconvex landscape of biological inverse-scattering, Shwetadwip Chowdhury",,
10:25,WI4,"Revisit Mirrors for 3D Imaging, Jinwei Ye",,
,,,,
10:45-11:15,,Coffee Break,,
,,,,
11:15-12:30,,Morning Papers Session: Generative models,,
,,,,
11:15,WP1,"DiffBody: Human Body Image Restoration with Generative Diffusion Prior, Yiming Zhang, Lionel Z. WANG, Sizhuo Ma, Xinjie Li, Jian Ren, Zhihang Zhong, Jian Wang",,
11:30,WP2,"Single-Step Latent Diffusion for Underwater Image Restoration*, Jiayi Wu, Tianfu Wang, Md Abu Bakr Siddique, Md Jahidul Islam, Cornelia Fermuller, Yiannis Aloimonos, Christopher Metzler",,
11:45,WP3,"Dark Noise Diffusion: Noise Synthesis for Low-Light Image Denoising*, Liying Lu, Raphael Achddou, Sabine Süsstrunk",,
12:00,WP4,"Exposure-Limited Image Enhancement with Generative Diffusion Prior, Baiang Li, Sizhuo Ma, Yanhong Zeng, Xiaogang Xu, Youqing Fang, Zhao Zhang, Jian Wang, Kai Chen",,
12:15,WP5,"Learning to Expose: A Deep Reinforcement Learning Approach to Camera Exposure Control, Xingang Guo, Jinglun Gao, Wenbin Wang, Xiaoxing Li, Shan Tong",,
,,,,
12:30-14:00,,Lunch,,
,,,,
14:00-15:25,,Invited Talks & Afternoon Papers: Resolution enhancement,,
14:00,WI5,"Space-time methods for super-resolution microscopy of dynamic samples, Laura Waller",,
14:20,WP6,"Centroiding Point-Objects with Event Cameras, Connor Hashemi, Dennis Melamed, Albert W. Reed, Nitesh Menon, Keigo Hirakawa, Scott McCloskey",,
14:35,WP7,"Shape from Polarization of Thermal Emission and Reflection, Kazuma Kitazawa, Tsuyoshi Takatani",,
14:50,WP8,"Resolving Shape Ambiguities using Heat Conduction and Shading, Akihiko Oharazawa, Sriram Narayanan, Mani Ramanagopal, Srinivasa Narasimhan",,
15:05,WI6,"Learned and Domain Specific Imaging Systems, Wolfgang Heidrich",,
,,,,
15:25-16:00,,Coffee Break,,
,,,,
16:00-17:20,,Afternoon Invited Talks,,
,,,,
16:00,WI7,"Quantitative Secondary Electron Yield Mapping in Ion-Beam Microscopy, Vivek Goyal",,
16:20,WI8,"A ray tracer for physics, Ioannis Gkioulekas",,
16:40,WI9,"The Sensor Independence Assumption, Bill Freeman",,
17:00,WI10,"Capturing touch and surface geometry with vision based tactile sensors, Edward Adelson",,
,,,,
17:20-17:40,,Closing Remarks,,
